disease_type	disease_id	cell_type	celltype_species	cell_ID	cell_def	marker	marker_type	database_specificity	EC_score	species	gene_description	database
chronic myeloid leukemia	DOID:8552	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:8552-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD38	positive	0.07	1	Human	CD38 molecule 	Ito K, Ito K. Leukemia Stem Cells as a Potential Target to Achieve Therapy-Free Remission in Chronic Myeloid Leukemia. Cancers (Basel). 2021 Nov 20;13(22):5822. doi: 10.3390/cancers13225822. PMID: 34830976; PMCID: PMC8616035.
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD38	negative	0.07	2	Human	CD38 molecule 	Ding Y, Gao H, Zhang Q. The biomarkers of leukemia stem cells in acute myeloid leukemia. Stem Cell Investig. 2017 Mar 2;4:19. doi: 10.21037/sci.2017.02.10. PMID: 28447034; PMCID: PMC5388677.; Hanekamp, D., Cloos, J. & Schuurhuis, G.J. Leukemic stem cells: identification and clinical application. Int J Hematol 105, 549–557 (2017). https://doi.org/10.1007/s12185-017-2221-5
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD38	positive	0.07	3	Human	CD38 molecule 	Goardon N., Marchi E., Atzberger A., Quek L., Schuh A., Soneji S., Woll P., Mead A., Alford K.A., Rout R., et al. Coexistence of LMPP-like and GMP-like leukemia stem cells in acute myeloid leukemia. Cancer Cell. 2011;19:138–152. doi: 10.1016/j.ccr.2010.12.012.; Keyhani A., Huh Y.O., Jendiroba D., Pagliaro L., Cortez J., Pierce S., Pearlman M., Estey E., Kantarjian H., Freireich E.J. Increased CD38 expression is associated with favorable prognosis in adult acute leukemia. Leuk. Res. 2000;24:153–159. doi: 10.1016/S0145-2126(99)00147-2.; CellMarker
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	CD38	positive	0.07	7	Human	CD38 molecule 	Flores-Montero J, de Tute R, Paiva B, Perez JJ, Böttcher S, Wind H, Sanoja L, Puig N, Lecrevisse Q, Vidriales MB, van Dongen JJ, Orfao A. Immunophenotype of normal vs. myeloma plasma cells: Toward antibody panel specifications for MRD detection in multiple myeloma. Cytometry B Clin Cytom. 2016 Jan;90(1):61-72. doi: 10.1002/cyto.b.21265. Epub 2015 Jul 31. PMID: 26100534.; Biolegend; van Dongen JJ, Lhermitte L, Böttcher S, Almeida J, van der Velden VH, Flores-Montero J, Rawstron A, Asnafi V, Lécrevisse Q, Lucio P, Mejstrikova E, Szczepański T, Kalina T, de Tute R, Brüggemann M, Sedek L, Cullen M, Langerak AW, Mendonça A, Macintyre E, Martin-Ayuso M, Hrusak O, Vidriales MB, Orfao A; EuroFlow Consortium (EU-FP6, LSHB-CT-2006-018708). EuroFlow antibody panels for standardized n-dimensional flow cytometric immunophenotyping of normal, reactive and malignant leukocytes. Leukemia. 2012 Sep;26(9):1908-75. doi: 10.1038/leu.2012.120. Epub 2012 May 3. PMID: 22552007; PMCID: PMC3437410.; Solimando, A.G.; Da Vià, M.C.; Bolli, N.; Steinbrunn, T. The Route of the Malignant Plasma Cell in Its Survival Niche: Exploring “Multiple Myelomas”. Cancers 2022, 14, 3271. https://doi.org/10.3390/cancers14133271; CellMarker; Halliley JL, Tipton CM, Liesveld J, Rosenberg AF, Darce J, Gregoretti IV, Popova L, Kaminiski D, Fucile CF, Albizua I, Kyu S, Chiang KY, Bradley KT, Burack R, Slifka M, Hammarlund E, Wu H, Zhao L, Walsh EE, Falsey AR, Randall TD, Cheung WC, Sanz I, Lee FE. Long-Lived Plasma Cells Are Contained within the CD19(-)CD38(hi)CD138(+) Subset in Human Bone Marrow. Immunity. 2015 Jul 21;43(1):132-45. doi: 10.1016/j.immuni.2015.06.016. Epub 2015 Jul 14. PMID: 26187412; PMCID: PMC4680845.; BioCompare
leukemia	DOID:1240	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:1240-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD44	positive	0.14	1	Human	CD44 molecule (Indian blood group) 	CellMarker
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD44	positive	0.14	6	Human	CD44 molecule (Indian blood group) 	Herrmann H., Sadovnik I., Eisenwort G., Thomas R., Blatt K., Herndlhofer S., Willmann M., Stefanzl G., Baumgartner S., Greiner G., et al. Delineation of target expression profiles in CD34+/CD38− and CD34+/CD38− stem and progenitor cells in AML and CML. Blood Adv. 2020;4:5118–5132. doi: 10.1182/bloodadvances.2020001742.; CellMarker; Zeijlemaker W, Kelder A, Oussoren-Brockhoff YJM, Scholten WJ, Snel AN, Veldhuizen D, et al. A simple one-tube assay for immunophenotypical quantification of leukemic stem cells in acute myeloid leukemia. Leukemia. 2016;30:439–46.; Ponta H., Sherman L., Herrlich P.A. CD44: From adhesion molecules to signalling regulators. Nat. Rev. Mol. Cell Biol. 2003;4:33–45. doi: 10.1038/nrm1004.; Jin L., Hope K.J., Zhai Q., Smadja-Joffe F., Dick J.E. Targeting of CD44 eradicates human acute myeloid leukemic stem cells. Nat. Med. 2006;12:1167–1174. doi: 10.1038/nm1483; Bendall L.J., Bradstock K.F., Gottlieb D.J. Expression of CD44 variant exons in acute myeloid leukemia is more common and more complex than that observed in normal blood, bone marrow or CD34+ cells. Leukemia. 2000;14:1239–1246. doi: 10.1038/sj.leu.2401830.
leukemia	DOID:1240	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:1240-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	Cd47	positive	1.00	1	Mouse	CD47 antigen (Rh-related antigen, integrin-associated signal transducer) 	CellMarker
leukemia	DOID:1240	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:1240-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD47	positive	0.11	1	Human	CD47 molecule 	CellMarker
chronic myeloid leukemia	DOID:8552	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:8552-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD47	positive	0.11	2	Human	CD47 molecule 	Jaiswal, S. et al. CD47 is upregulated on circulating hematopoietic stem cells and leukemia cells to avoid phagocytosis. Cell138, 271–285 (2009).; Chao, M. P., Weissman, I. L. & Majeti, R. The CD47-SIRPα pathway in cancer immune evasion and potential therapeutic implications. Curr. Opin. Immunol.24, 225–232 (2012).
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD47	positive	0.11	6	Human	CD47 molecule 	Jaiswal, S. et al. CD47 is upregulated on circulating hematopoietic stem cells and leukemia cells to avoid phagocytosis. Cell138, 271–285 (2009).; Majeti R., Chao M.P., Alizadeh A.A., Pang W.W., Jaiswal S., Gibbs K.D., van Rooijen N., Weissman I.L. CD47 is an adverse prognostic factor and therapeutic antibody target on human acute myeloid leukemia stem cells. Cell. 2009;138:286–299. doi: 10.1016/j.cell.2009.05.045.; Sick E., Jeanne A., Schneider C., Dedieu S., Takeda K., Martiny L. CD47 update: A multifaceted actor in the tumour microenvironment of potential therapeutic interest. Br. J. Pharmacol. 2012;167:1415–1430. doi: 10.1111/j.1476-5381.2012.02099.x.; Ponce LP, Fenn NC, Moritz N, Krupka C, Kozik JH, Lauber K, et al. SIRPα-antibody fusion proteins stimulate phagocytosis and promote elimination of acute myeloid leukemia cells. Oncotarget. 2017;8:11284–301.; Chao, M. P., Weissman, I. L. & Majeti, R. The CD47-SIRPα pathway in cancer immune evasion and potential therapeutic implications. Curr. Opin. Immunol.24, 225–232 (2012).; Jaiswal S., Jamieson C.H., Pang W.W., Park C.Y., Chao M.P., Majeti R., Traver D., van Rooijen N., Weissman I.L. CD47 is upregulated on circulating hematopoietic stem cells and leukemia cells to avoid phagocytosis. Cell. 2009;138:271–285. doi: 10.1016/j.cell.2009.05.046.
chronic lymphocytic leukemia	DOID:1040	CD5+ B cell	CD5+ B cell (Hs)	DOID:1040-CL:0000236	A cell which express B-phenotype and the CD5 antigen which is usually present on the surface of normal T cells	CD5	positive	1.00	1	Human	CD5 molecule 	Bagheri, M., Vosoughi, T., Hosseinzadeh, M. et al. Evaluation of immunophenotypic markers and clinico-hematological profile in chronic lymphocytic leukemia: implications for prognosis. BMC Res Notes13, 412 (2020). https://doi.org/10.1186/s13104-020-05243-7
chronic myeloid leukemia	DOID:8552	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:8552-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD52	positive	0.50	1	Human	CD52 molecule 	Oehler, V. G. et al. CD52 expression in leukemic stem/progenitor cells. Blood116, 2743 (2010).
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD52	positive	0.50	1	Human	CD52 molecule 	Oehler, V. G. et al. CD52 expression in leukemic stem/progenitor cells. Blood116, 2743 (2010).
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD69	positive	0.50	2	Human	CD69 molecule 	Herrmann H., Sadovnik I., Eisenwort G., Thomas R., Blatt K., Herndlhofer S., Willmann M., Stefanzl G., Baumgartner S., Greiner G., et al. Delineation of target expression profiles in CD34+/CD38− and CD34+/CD38− stem and progenitor cells in AML and CML. Blood Adv. 2020;4:5118–5132. doi: 10.1182/bloodadvances.2020001742.; Sachs K., Sarver A.L., Noble-Orcutt K.E., LaRue R.S., Antony M.L., Chang D., Lee Y., Navis C.M., Hillesheim A.L., Nykaza I.R., et al. Single-cell gene expression analyses reveal distinct self-renewing and proliferating subsets in the leukemia stem cell compartment in acute myeloid leukemia. Cancer Res. 2020;80:458–470. doi: 10.1158/0008-5472.CAN-18-2932.
leukemia	DOID:1240	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:1240-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD7	positive	0.50	1	Human	CD7 molecule 	CellMarker
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD7	positive	0.50	1	Human	CD7 molecule 	Zeijlemaker W, Kelder A, Oussoren-Brockhoff YJM, Scholten WJ, Snel AN, Veldhuizen D, et al. A simple one-tube assay for immunophenotypical quantification of leukemic stem cells in acute myeloid leukemia. Leukemia. 2016;30:439–46.
chronic myeloid leukemia	DOID:8552	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:8552-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD70	positive	0.33	1	Human	CD70 molecule 	Riether C., Schürch C.M., Ochsenbein A.F. Regulation of hematopoietic and leukemic stem cells by the immune system. Cell Death Differ. 2015;22:187–198. doi: 10.1038/cdd.2014.89.
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD70	positive	0.33	2	Human	CD70 molecule 	Riether C., Schürch C.M., Bührer E.D., Hinterbrandner M., Huguenin A.L., Hoepner S., Zlobec I., Pabst T., Radpour R., Ochsenbein A.F. CD70/CD27 signaling promotes blast stemness and is a viable therapeutic target in acute myeloid leukemia. J. Exp. Med. 2017;214:359–380. doi: 10.1084/jem.20152008.; Riether C., Schürch C.M., Ochsenbein A.F. Regulation of hematopoietic and leukemic stem cells by the immune system. Cell Death Differ. 2015;22:187–198. doi: 10.1038/cdd.2014.89.
chronic lymphocytic leukemia	DOID:1040	CD5+ B cell	CD5+ B cell (Hs)	DOID:1040-CL:0000236	A cell which express B-phenotype and the CD5 antigen which is usually present on the surface of normal T cells	CD81	negatve	0.17	1	Human	CD81 molecule 	Rawstron AC, Kreuzer KA, Soosapilla A, Spacek M, Stehlikova O, Gambell P, McIver-Brown N, Villamor N, Psarra K, Arroz M, Milani R, de la Serna J, Cedena MT, Jaksic O, Nomdedeu J, Moreno C, Rigolin GM, Cuneo A, Johansen P, Johnsen HE, Rosenquist R, Niemann CU, Kern W, Westerman D, Trneny M, Mulligan S, Doubek M, Pospisilova S, Hillmen P, Oscier D, Hallek M, Ghia P, Montserrat E. Reproducible diagnosis of chronic lymphocytic leukemia by flow cytometry: An European Research Initiative on CLL (ERIC) & European Society for Clinical Cell Analysis (ESCCA) Harmonisation project. Cytometry B Clin Cytom. 2018 Jan;94(1):121-128. doi: 10.1002/cyto.b.21595. Epub 2018 Jan 17. PMID: 29024461; PMCID: PMC5817234.
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	CD81	positive	0.17	2	Human	CD81 molecule 	Flores-Montero J, de Tute R, Paiva B, Perez JJ, Böttcher S, Wind H, Sanoja L, Puig N, Lecrevisse Q, Vidriales MB, van Dongen JJ, Orfao A. Immunophenotype of normal vs. myeloma plasma cells: Toward antibody panel specifications for MRD detection in multiple myeloma. Cytometry B Clin Cytom. 2016 Jan;90(1):61-72. doi: 10.1002/cyto.b.21265. Epub 2015 Jul 31. PMID: 26100534.; Paiva B, Puig N, Cedena MT, de Jong BG, Ruiz Y, Rapado I, Martinez-Lopez J, Cordon L, Alignani D, Delgado JA, van Zelm MC, Van Dongen JJ, Pascual M, Agirre X, Prosper F, Martín-Subero JI, Vidriales MB, Gutierrez NC, Hernandez MT, Oriol A, Echeveste MA, Gonzalez Y, Johnson SK, Epstein J, Barlogie B, Morgan GJ, Orfao A, Blade J, Mateos MV, Lahuerta JJ, San-Miguel JF. Differentiation stage of myeloma plasma cells: biological and clinical significance. Leukemia. 2017 Feb;31(2):382-392. doi: 10.1038/leu.2016.211. Epub 2016 Aug 1. PMID: 27479184; PMCID: PMC5439510.
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	CD81	negative	0.17	3	Human	CD81 molecule 	Flores-Montero J, de Tute R, Paiva B, Perez JJ, Böttcher S, Wind H, Sanoja L, Puig N, Lecrevisse Q, Vidriales MB, van Dongen JJ, Orfao A. Immunophenotype of normal vs. myeloma plasma cells: Toward antibody panel specifications for MRD detection in multiple myeloma. Cytometry B Clin Cytom. 2016 Jan;90(1):61-72. doi: 10.1002/cyto.b.21265. Epub 2015 Jul 31. PMID: 26100534.; BioCompare; Milteny Biotec
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD82	positive	1.00	1	Human	CD82 molecule 	de Boer, B. et al. Prospective isolation and characterization of genetically and functionally distinct AML subclones. Cancer Cell34, 674–689.e8 (2018).
B-cell acute lymphoblastic leukemia	DOID:0080638	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:0080638-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD9	positive	0.10	1	Human	CD9 molecule 	CellMarker
acute lymphoblastic leukemia	DOID:9952	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9952-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD9	positive	0.10	1	Human	CD9 molecule 	Brosseau C., Colas L., Magnan A., Brouard S. CD9 tetraspanin: A new pathway for the regulation of inflammation? Front. Immunol. 2018;9:2316. doi: 10.3389/fimmu.2018.02316.
chronic myeloid leukemia	DOID:8552	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:8552-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD9	positive	0.10	4	Human	CD9 molecule 	Sadovnik, I. et al. Expression of CD25 on leukemic stem cells in BCR-ABL1+ CML: potential diagnostic value and functional implications. Exp. Hematol.51, 17–24 (2017).; Touzet, L. et al. CD9 in acute myeloid leukemia: prognostic role and usefulness to target leukemic stem cells. Cancer. Med.8, 1279–1288 (2019).; Herrmann H., Sadovnik I., Eisenwort G., Thomas R., Blatt K., Herndlhofer S., Willmann M., Stefanzl G., Baumgartner S., Greiner G., et al. Delineation of target expression profiles in CD34+/CD38− and CD34+/CD38− stem and progenitor cells in AML and CML. Blood Adv. 2020;4:5118–5132. doi: 10.1182/bloodadvances.2020001742.; Ito K, Ito K. Leukemia Stem Cells as a Potential Target to Achieve Therapy-Free Remission in Chronic Myeloid Leukemia. Cancers (Basel). 2021 Nov 20;13(22):5822. doi: 10.3390/cancers13225822. PMID: 34830976; PMCID: PMC8616035.
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD9	positive	0.10	4	Human	CD9 molecule 	Touzet, L. et al. CD9 in acute myeloid leukemia: prognostic role and usefulness to target leukemic stem cells. Cancer. Med.8, 1279–1288 (2019).; Herrmann H., Sadovnik I., Eisenwort G., Thomas R., Blatt K., Herndlhofer S., Willmann M., Stefanzl G., Baumgartner S., Greiner G., et al. Delineation of target expression profiles in CD34+/CD38− and CD34+/CD38− stem and progenitor cells in AML and CML. Blood Adv. 2020;4:5118–5132. doi: 10.1182/bloodadvances.2020001742.; Paprocka M., Bielawska-Pohl A., Rossowska J., Krawczenko A., Duś D., Kiełbiński M., Haus O., Podolak-Dawidziak M., Kuliczkowski K. MRP1 protein expression in leukemic stem cells as a negative prognostic marker in acute myeloid leukemia patients. Eur. J. Haematol. 2017;99:415–422. doi: 10.1111/ejh.12938.; Touzet L., Dumezy F., Roumier C., Berthon C., Bories C., Quesnel B., Preudhomme C., Boyer T. CD9 in acute myeloid leukemia: Prognostic role and usefulness to target leukemic stem cells. Cancer Med. 2019;8:1279–1288. doi: 10.1002/cam4.2007.
chronic myeloid leukemia	DOID:8552	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:8552-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD93	positive	0.10	4	Human	CD93 molecule 	Greenlee-Wacker, M. C., Galvan, M. D. & Bohlson, S. S. CD93: recent advances and implications in disease. Curr. Drug Targets13, 411–420 (2012).; Herrmann H., Sadovnik I., Eisenwort G., Thomas R., Blatt K., Herndlhofer S., Willmann M., Stefanzl G., Baumgartner S., Greiner G., et al. Delineation of target expression profiles in CD34+/CD38− and CD34+/CD38− stem and progenitor cells in AML and CML. Blood Adv. 2020;4:5118–5132. doi: 10.1182/bloodadvances.2020001742.; Ito K, Ito K. Leukemia Stem Cells as a Potential Target to Achieve Therapy-Free Remission in Chronic Myeloid Leukemia. Cancers (Basel). 2021 Nov 20;13(22):5822. doi: 10.3390/cancers13225822. PMID: 34830976; PMCID: PMC8616035.; Kinstrie, R. et al. CD93 is a novel biomarker of leukemia stem cells in chronic myeloid leukemia. Blood126, 49–49 (2015).
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD93	positive	0.10	6	Human	CD93 molecule 	Herrmann H., Sadovnik I., Eisenwort G., Thomas R., Blatt K., Herndlhofer S., Willmann M., Stefanzl G., Baumgartner S., Greiner G., et al. Delineation of target expression profiles in CD34+/CD38− and CD34+/CD38− stem and progenitor cells in AML and CML. Blood Adv. 2020;4:5118–5132. doi: 10.1182/bloodadvances.2020001742.; Greenlee-Wacker, M. C., Galvan, M. D. & Bohlson, S. S. CD93: recent advances and implications in disease. Curr. Drug Targets13, 411–420 (2012).; Kinstrie, R. et al. CD93 is a novel biomarker of leukemia stem cells in chronic myeloid leukemia. Blood126, 49–49 (2015).; Bohlson S., Greenlee M., Sullivan S. CD93 and Related Family Members: Their Role in Innate Immunity. Curr. Drug Targets. 2008;9:130–138. doi: 10.2174/138945008783502421.; Iwasaki M., Liedtke M., Gentles A.J., Cleary M.L. CD93 marks a non-quiescent human leukemia stem cell population and is required for development of MLL-rearranged acute myeloid leukemia. Cell Stem Cell. 2015;17:412–421.; Sumide K., Matsuoka Y., Kawamura H., Nakatsuka R., Fujioka T., Asano H., Takihara Y., Sonoda Y. A revised road map for the commitment of human cord blood CD34-negative hematopoietic stem cells. Nat. Commun. 2018;9:2202. doi: 10.1038/s41467-018-04441-z.
leukemia	DOID:1240	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:1240-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD96	positive	0.14	1	Human	CD96 molecule 	CellMarker
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD96	positive	0.14	6	Human	CD96 molecule 	Zeijlemaker W, Kelder A, Oussoren-Brockhoff YJM, Scholten WJ, Snel AN, Veldhuizen D, et al. A simple one-tube assay for immunophenotypical quantification of leukemic stem cells in acute myeloid leukemia. Leukemia. 2016;30:439–46.; Hosen, N. et al. CD96 is a leukemic stem cell-specific marker in human acute myeloid leukemia. Proc. Natl Acad. Sci. USA104, 11008–11013 (2007).; Herrmann H., Sadovnik I., Eisenwort G., Thomas R., Blatt K., Herndlhofer S., Willmann M., Stefanzl G., Baumgartner S., Greiner G., et al. Delineation of target expression profiles in CD34+/CD38− and CD34+/CD38− stem and progenitor cells in AML and CML. Blood Adv. 2020;4:5118–5132. doi: 10.1182/bloodadvances.2020001742.; Al-Fatlawi H., Musa R. Evaluation of CD96 and CD123 in CD34+ leukemic stem cells in acute myeloid leukemia patients and their relation to response to induction therapy. Iraqi J. Hematol. 2016;5:161–166. doi: 10.4103/2072-8069.198119.; Georgiev H., Ravens I., Papadogianni G., Bernhardt G. Coming of age: CD96 emerges as modulator of immune responses. Front. Immunol. 2018;9:1072. doi: 10.3389/fimmu.2018.01072.; Ding Y, Gao H, Zhang Q. The biomarkers of leukemia stem cells in acute myeloid leukemia. Stem Cell Investig. 2017 Mar 2;4:19. doi: 10.21037/sci.2017.02.10. PMID: 28447034; PMCID: PMC5388677.
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD99	positive	0.33	3	Human	CD99 molecule (Xg blood group) 	Chung SS, Tavakkoli M, Klimek VM, Park CY. CD99 is a therapeutic target on disease stem cells in acute myeloid leukemia and the myelodysplastic syndromes. Blood. 2014;124:3760.; Chung, S. S. et al. CD99 is a therapeutic target on disease stem cells in myeloid malignancies. Sci. Transl. Med.9, eaaj2025 (2017).; Celik, H. et al. Discovery of first-in-class small molecule CD99 inhibitors for targeted therapy of Ewing sarcoma. Cancer Res. 77 (13 Suppl.), Abstract nr 1933 (2017).
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	CIITA	positive	0.50	2	Human	class II major histocompatibility complex transactivator 	Scharer, C.D., Barwick, B.G., Guo, M. et al. Plasma cell differentiation is controlled by multiple cell division-coupled epigenetic programs. Nat Commun9, 1698 (2018). https://doi.org/10.1038/s41467-018-04125-8; Minnich, M., Tagoh, H., Bönelt, P. et al. Multifunctional role of the transcription factor Blimp-1 in coordinating plasma cell differentiation. Nat Immunol17, 331–343 (2016). https://doi.org/10.1038/ni.3349
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	DKK1	positive	1.00	1	Human	dickkopf WNT signaling pathway inhibitor 1 	CellMarker
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	DPP4	negative	0.20	1	Human	dipeptidyl peptidase 4 	Herrmann H., Sadovnik I., Eisenwort G., Thomas R., Blatt K., Herndlhofer S., Willmann M., Stefanzl G., Baumgartner S., Greiner G., et al. Delineation of target expression profiles in CD34+/CD38− and CD34+/CD38− stem and progenitor cells in AML and CML. Blood Adv. 2020;4:5118–5132. doi: 10.1182/bloodadvances.2020001742.
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	DPP4	positive	0.20	1	Human	dipeptidyl peptidase 4 	Valent, P. et al. DPPIV (CD26) as a novel stem cell marker in Ph+ chronic myeloid leukaemia. Eur. J. Clin. Invest.44, 1239–1245 (2014).
chronic myeloid leukemia	DOID:8552	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:8552-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	DPP4	positive	0.20	3	Human	dipeptidyl peptidase 4 	Valent, P. et al. DPPIV (CD26) as a novel stem cell marker in Ph+ chronic myeloid leukaemia. Eur. J. Clin. Invest.44, 1239–1245 (2014).; Herrmann H., Sadovnik I., Eisenwort G., Thomas R., Blatt K., Herndlhofer S., Willmann M., Stefanzl G., Baumgartner S., Greiner G., et al. Delineation of target expression profiles in CD34+/CD38− and CD34+/CD38− stem and progenitor cells in AML and CML. Blood Adv. 2020;4:5118–5132. doi: 10.1182/bloodadvances.2020001742.; Ito K, Ito K. Leukemia Stem Cells as a Potential Target to Achieve Therapy-Free Remission in Chronic Myeloid Leukemia. Cancers (Basel). 2021 Nov 20;13(22):5822. doi: 10.3390/cancers13225822. PMID: 34830976; PMCID: PMC8616035.
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	EDNRB	positive	1.00	1	Human	endothelin receptor type B 	CellMarker
